07:41:39:588 [ALWAYS]	GUDE Logging Started
07:41:39:589 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
07:41:39:589 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
07:41:39:589 [ERROR]	Initialize resume cache pointer failure
07:41:39:589 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
07:41:39:589 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
07:41:49:021 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
07:41:49:022 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
07:41:49:022 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
07:41:49:022 [ERROR]	Initialize resume cache pointer failure
07:41:49:022 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
07:41:49:022 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
07:41:49:035 [WARN]	Request Failed. ErrorCode: 112007 errorMessage: Platform Status, Send Request Failed. WinHTTP Name Not Resolved. last error code = 12007 
